Event	ID	Name			Wwise Object Path	Notes
	5356008	Play_GravityAct			\Events\Play_GravityAct	
	456935401	Play_Skill_ManageOpen			\Events\Play_Skill_ManageOpen	
	488168703	Play_EscapeVoice			\Events\Play_EscapeVoice	
	561502880	Play_MeteorVoice			\Events\Play_MeteorVoice	
	867002421	Play_MeteorHit			\Events\Play_MeteorHit	
	1096525642	Play_Skill_LevelDown			\Events\Play_Skill_LevelDown	
	1172822028	Play_Death			\Events\Play_Death	
	1426838595	Play_Stunned			\Events\Play_Stunned	
	1444205428	Play_StartGame			\Events\Play_StartGame	
	2044747472	Play_UI			\Events\Play_UI	
	2100760483	Play_DangerToxicGas			\Events\Play_DangerToxicGas	
	2267716414	Play_Hack_Succes			\Events\Play_Hack_Succes	
	2295817318	Play_Goggles_Activate			\Events\Play_Goggles_Activate	
	2721379730	Play_DoorClose			\Events\Play_DoorClose	
	2855167047	Play_Goggles_DeActivate			\Events\Play_Goggles_DeActivate	
	2868217562	Play_ProceedVoice			\Events\Play_ProceedVoice	
	2890400009	Play_Hack_Denied			\Events\Play_Hack_Denied	
	2932040671	Play_Music			\Events\Play_Music	
	3197300806	Play_DoorOpen			\Events\Play_DoorOpen	
	3689126666	Play_Jump			\Events\Play_Jump	
	4192500681	Play_Skill_LevelUp			\Events\Play_Skill_LevelUp	
	4265929456	Play_GravityDis			\Events\Play_GravityDis	

State Group	ID	Name			Wwise Object Path	Notes
	768929368	GamePhase			\Default Work Unit\GamePhase	
	3285234865	PlayerState			\Default Work Unit\PlayerState	

State	ID	Name	State Group			Notes
	0	None	GamePhase			
	1018478861	Menu_Tutorial	GamePhase			
	2716678721	Victory	GamePhase			
	3161908922	Main	GamePhase			
	0	None	PlayerState			
	655265632	Alive	PlayerState			
	2044049779	Dead	PlayerState			

Effect plug-ins	ID	Name	Type				Notes
	1443902288	_1_Second_Delay	Wwise Stereo Delay			
	2648499661	Hall_Medium_Dark	Wwise RoomVerb			
	2662085913	Large_Church1	Wwise Matrix Reverb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	5751555	DangerToxicGas	Y:\Documents\UnityProjects\NotAnotherSpaceLevel\Assets\NotAnotherSpaceLevel_WwiseProject\.cache\Mac\SFX\DangerToxicGas_887CAD66.wem		\Actor-Mixer Hierarchy\VoiceLines\Voices\DangerToxicGas		0
	14273555	Music_Part4	Y:\Documents\UnityProjects\NotAnotherSpaceLevel\Assets\NotAnotherSpaceLevel_WwiseProject\.cache\Mac\SFX\Music_Part4_D79FB2B7.wem		\Interactive Music Hierarchy\Music\MusicManager\MainMusic\Part_04\Music_Part4		0
	16550735	ProceedtoTerminal	Y:\Documents\UnityProjects\NotAnotherSpaceLevel\Assets\NotAnotherSpaceLevel_WwiseProject\.cache\Mac\SFX\ProceedtoTerminal_28F27944.wem		\Actor-Mixer Hierarchy\VoiceLines\Voices\ProceedtoTerminal		0
	17706404	StartGame	Y:\Documents\UnityProjects\NotAnotherSpaceLevel\Assets\NotAnotherSpaceLevel_WwiseProject\.cache\Mac\SFX\Electric_Woosh_10C4C929.wem		\Actor-Mixer Hierarchy\SFX\All\UI\StartGame		0
	24404833	ArtGravDisabled	Y:\Documents\UnityProjects\NotAnotherSpaceLevel\Assets\NotAnotherSpaceLevel_WwiseProject\.cache\Mac\SFX\ArtGravDisabled_8A395F80.wem		\Actor-Mixer Hierarchy\VoiceLines\Voices\ArtGravDisabled		0
